,Exposure,State,Center mean,Center variance,Center std,Count,Uptake mean,var,ANOVA,Position,AT21950,AT23551,danoprevir,protein only,Protein
0,0.0,AT21950,2425.410672019006,0.05462001089539859,0.2337092443516058,8.0,1.2871720190059905,0.05462001089539859,0.29235274048164306,1,1.0,1.0,1.0,1.0,astex
1,0.0,AT23551,2425.4881863878804,0.004039429024826064,0.06355650261638114,8.0,1.3646863878805033,0.004039429024826063,0.29235274048164306,1,1.0,1.0,1.0,1.0,astex
2,0.0,danoprevir,2425.4143703799396,0.004536885780475818,0.06735640860731677,8.0,1.2908703799393302,0.004536885780475817,0.29235274048164306,1,1.0,1.0,1.0,1.0,astex
3,0.0,protein only,2425.5150932110155,0.00880397978170887,0.09382952510648697,11.0,1.3915932110153322,0.008803979781708868,0.29235274048164306,1,1.0,1.0,1.0,1.0,astex
4,0.5,AT21950,2428.538770110921,0.040346849129945364,0.20086525117587004,4.0,4.415270110920986,0.04034684912994536,0.16787264699624516,1,1.0,1.0,1.0,1.0,astex
5,0.5,AT23551,2428.44202168489,0.0020313095270484715,0.045070051331770986,3.0,4.318521684889377,0.0020313095270484715,0.16787264699624516,1,1.0,1.0,1.0,1.0,astex
6,0.5,danoprevir,2428.2613227489132,0.010656922135308059,0.10323236961006009,6.0,4.137822748913135,0.010656922135308057,0.16787264699624516,1,1.0,1.0,1.0,1.0,astex
7,0.5,protein only,2428.383572182733,0.04977273115150955,0.22309803036223683,4.0,4.260072182732875,0.04977273115150954,0.16787264699624516,1,1.0,1.0,1.0,1.0,astex
8,1.0,AT21950,2428.507860823058,0.0004530879456231624,0.021285862576441727,2.0,4.384360823057227,0.0004530879456231624,0.004596142187675456,1,1.0,0.9,0.20022894481067455,0.8271685099210624,astex
9,1.0,AT23551,2428.5656195472966,0.001601790218648406,0.04002237147706775,6.0,4.442119547296536,0.001601790218648406,0.004596142187675456,1,0.9,1.0,0.0076138269723423635,0.9,astex
10,1.0,danoprevir,2428.3242253816193,0.021944260281042193,0.1481359520205753,6.0,4.200725381619286,0.02194426028104219,0.004596142187675456,1,0.20022894481067455,0.0076138269723423635,1.0,0.009981735353812637,astex
11,1.0,protein only,2428.584269644125,0.004543803336790569,0.06740773944281599,4.0,4.460769644125041,0.00454380333679057,0.004596142187675456,1,0.8271685099210624,0.9,0.009981735353812637,1.0,astex
12,2.0,AT21950,2428.6029514289075,0.012151778042529458,0.11023510349489157,9.0,4.479451428907476,0.012151778042529456,0.4301607648104683,1,1.0,1.0,1.0,1.0,astex
13,2.0,AT23551,2428.5445790629565,0.007221019149015939,0.08497658000305695,6.0,4.421079062956506,0.007221019149015939,0.4301607648104683,1,1.0,1.0,1.0,1.0,astex
14,2.0,danoprevir,2428.5033242078057,0.00846113955595905,0.09198445279480141,4.0,4.379824207805386,0.008461139555959049,0.4301607648104683,1,1.0,1.0,1.0,1.0,astex
15,2.0,protein only,2428.5646705039126,0.003710998379361197,0.06091796434026007,4.0,4.441170503912648,0.0037109983793611975,0.4301607648104683,1,1.0,1.0,1.0,1.0,astex
16,30.000002,AT21950,2428.781336892171,0.005100267344770639,0.07141615604868858,8.0,4.657836892170899,0.005100267344770638,0.0001148304799546418,1,1.0,0.3886542383396978,0.0794303662247754,0.10812162520558766,astex
17,30.000002,AT23551,2428.6947231597314,0.014958574333581408,0.12230525063782588,8.0,4.571223159731379,0.014958574333581408,0.0001148304799546418,1,0.3886542383396978,1.0,0.7867062401385857,0.0017739351051230257,astex
18,30.000002,danoprevir,2428.646650677263,0.01619396277041189,0.12725550192589666,8.0,4.523150677262852,0.016193962770411886,0.0001148304799546418,1,0.0794303662247754,0.7867062401385857,1.0,0.001,astex
19,30.000002,protein only,2428.901448825294,0.0056608861180415205,0.07523886042492617,10.0,4.777948825294095,0.005660886118041521,0.0001148304799546418,1,0.10812162520558766,0.0017739351051230257,0.001,1.0,astex
20,120.000008,AT21950,2428.8969603158657,0.02652553905196059,0.16286662964511972,6.0,4.773460315865434,0.02652553905196059,1.2591388531824066e-07,1,1.0,0.5992341055210753,0.001,0.08824581175438295,astex
21,120.000008,AT23551,2428.9992003290686,0.010745950778476579,0.10366267784731677,6.0,4.875700329068391,0.010745950778476579,1.2591388531824066e-07,1,0.5992341055210753,1.0,0.001,0.5830660404047558,astex
22,120.000008,danoprevir,2428.3825490331087,0.017887816737268542,0.13374534286197984,6.0,4.259049033108506,0.017887816737268542,1.2591388531824066e-07,1,0.001,0.001,1.0,0.001,astex
23,120.000008,protein only,2429.1038801546415,0.012653510268309954,0.11248782275566521,6.0,4.980380154641346,0.012653510268309952,1.2591388531824066e-07,1,0.08824581175438295,0.5830660404047558,0.001,1.0,astex
24,0.0,AT21950,2425.410672019006,0.05462001089539859,0.2337092443516058,8.0,1.2871720190059905,0.05462001089539859,0.29235274048164306,2,1.0,1.0,1.0,1.0,astex
25,0.0,AT23551,2425.4881863878804,0.004039429024826064,0.06355650261638114,8.0,1.3646863878805033,0.004039429024826063,0.29235274048164306,2,1.0,1.0,1.0,1.0,astex
26,0.0,danoprevir,2425.4143703799396,0.004536885780475818,0.06735640860731677,8.0,1.2908703799393302,0.004536885780475817,0.29235274048164306,2,1.0,1.0,1.0,1.0,astex
27,0.0,protein only,2425.5150932110155,0.00880397978170887,0.09382952510648697,11.0,1.3915932110153322,0.008803979781708868,0.29235274048164306,2,1.0,1.0,1.0,1.0,astex
28,0.5,AT21950,2428.538770110921,0.040346849129945364,0.20086525117587004,4.0,4.415270110920986,0.04034684912994536,0.16787264699624516,2,1.0,1.0,1.0,1.0,astex
29,0.5,AT23551,2428.44202168489,0.0020313095270484715,0.045070051331770986,3.0,4.318521684889377,0.0020313095270484715,0.16787264699624516,2,1.0,1.0,1.0,1.0,astex
30,0.5,danoprevir,2428.2613227489132,0.010656922135308059,0.10323236961006009,6.0,4.137822748913135,0.010656922135308057,0.16787264699624516,2,1.0,1.0,1.0,1.0,astex
31,0.5,protein only,2428.383572182733,0.04977273115150955,0.22309803036223683,4.0,4.260072182732875,0.04977273115150954,0.16787264699624516,2,1.0,1.0,1.0,1.0,astex
32,1.0,AT21950,2428.507860823058,0.0004530879456231624,0.021285862576441727,2.0,4.384360823057227,0.0004530879456231624,0.004596142187675456,2,1.0,0.9,0.20022894481067455,0.8271685099210624,astex
33,1.0,AT23551,2428.5656195472966,0.001601790218648406,0.04002237147706775,6.0,4.442119547296536,0.001601790218648406,0.004596142187675456,2,0.9,1.0,0.0076138269723423635,0.9,astex
34,1.0,danoprevir,2428.3242253816193,0.021944260281042193,0.1481359520205753,6.0,4.200725381619286,0.02194426028104219,0.004596142187675456,2,0.20022894481067455,0.0076138269723423635,1.0,0.009981735353812637,astex
35,1.0,protein only,2428.584269644125,0.004543803336790569,0.06740773944281599,4.0,4.460769644125041,0.00454380333679057,0.004596142187675456,2,0.8271685099210624,0.9,0.009981735353812637,1.0,astex
36,2.0,AT21950,2428.6029514289075,0.012151778042529458,0.11023510349489157,9.0,4.479451428907476,0.012151778042529456,0.4301607648104683,2,1.0,1.0,1.0,1.0,astex
37,2.0,AT23551,2428.5445790629565,0.007221019149015939,0.08497658000305695,6.0,4.421079062956506,0.007221019149015939,0.4301607648104683,2,1.0,1.0,1.0,1.0,astex
38,2.0,danoprevir,2428.5033242078057,0.00846113955595905,0.09198445279480141,4.0,4.379824207805386,0.008461139555959049,0.4301607648104683,2,1.0,1.0,1.0,1.0,astex
39,2.0,protein only,2428.5646705039126,0.003710998379361197,0.06091796434026007,4.0,4.441170503912648,0.0037109983793611975,0.4301607648104683,2,1.0,1.0,1.0,1.0,astex
40,30.000002,AT21950,2428.781336892171,0.005100267344770639,0.07141615604868858,8.0,4.657836892170899,0.005100267344770638,0.0001148304799546418,2,1.0,0.3886542383396978,0.0794303662247754,0.10812162520558766,astex
41,30.000002,AT23551,2428.6947231597314,0.014958574333581408,0.12230525063782588,8.0,4.571223159731379,0.014958574333581408,0.0001148304799546418,2,0.3886542383396978,1.0,0.7867062401385857,0.0017739351051230257,astex
42,30.000002,danoprevir,2428.646650677263,0.01619396277041189,0.12725550192589666,8.0,4.523150677262852,0.016193962770411886,0.0001148304799546418,2,0.0794303662247754,0.7867062401385857,1.0,0.001,astex
